Date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_sma,bb_upper,bb_lower,sma_7,sma_21,sma_50,ema_12,volatility
2025-06-24,603.875,605.86,600.16,601.625,1000000,81.46938775510212,6.147483401674776,4.687378531448868,1.4601048702259085,588.693,605.7625676879233,571.6234323120767,598.4849999999999,588.2785714285715,584.4892,594.9209844310894,0.07354758197083548
2025-06-25,601.625,604.925,600.75,604.59,1000000,82.37030133581868,6.463431742090506,5.042589173577196,1.4208425685133106,590.05475,607.6531068237123,572.4563931762877,599.9228571428572,589.45,584.6428,596.4085252878449,0.07025020101072928
2025-06-26,604.565,609.26,604.005,606.535,1000000,90.10606300459077,6.79246896900213,5.392565132662183,1.3999038363399467,591.46825,609.6122706984346,573.3242293015654,601.5992857142857,590.8395238095238,584.8889,597.9664444743303,0.07026227994910224
2025-06-27,606.3,611.595,605.395,609.825,1000000,90.93283040765995,7.235304756821847,5.761113057494116,1.474191699327731,592.9879999999999,611.9593583011189,574.016641698881,603.4878571428571,592.3423809523808,585.2228,599.7908376321257,0.0710530702967733
2025-06-30,609.545,612.555,608.18,612.46,1000000,93.56926466538135,7.710001687371914,6.150890783469675,1.5591109039022388,594.3452500000001,614.8290067162494,573.8614932837507,605.6721428571428,593.915238095238,585.5088,601.7399395348755,0.06559810640289422
2025-07-01,612.435,614.675,609.77,612.18,1000000,91.54269081500613,7.971715787519543,6.5150557842796495,1.456660003239893,595.8075,617.0239106047025,574.5910893952976,607.2985714285714,595.1945238095238,585.9249,603.3461026833562,0.06212838920553506
2025-07-02,612.18,613.05,608.92,611.62,1000000,87.52700844627755,8.04124431854666,6.820293491133052,1.220950827413608,597.271,618.6164818589189,575.925518141081,608.405,596.5604761904762,586.4191,604.6190099628399,0.06206355386889667
2025-07-03,611.62,613.815,608.65,610.7,1000000,84.74705211106892,7.930689813584536,7.042372755623349,0.8883170579611868,598.6185,619.7718053532631,577.465194646737,609.7014285714286,597.9104761904762,586.8688999999999,605.5545468916338,0.06364254475976625
2025-07-04,610.73,612.875,610.45,611.91,1000000,84.21570556976975,7.850219021222756,7.203942008743231,0.6462770124795254,600.154,620.4235035641431,579.8844964358569,610.7471428571429,599.2514285714286,587.4075,606.5323089083055,0.05865841208573635
2025-07-07,611.88,612.53,607.135,608.255,1000000,73.371547681084,7.406143967136245,7.244382400421834,0.16176156671441078,601.4862499999999,620.0550361675664,582.9174638324334,610.9928571428572,600.5397619047619,587.8532,606.7973383070278,0.0658457125545974
2025-07-08,608.305,611.6,606.965,609.155,1000000,72.5071736011478,7.045616286958648,7.204629177729197,-0.15901289077054948,602.903,618.9907290275268,586.8152709724733,610.8971428571429,601.8514285714285,588.3862,607.160055490562,0.06454050219954686
2025-07-09,609.18,609.46,606.125,607.94,1000000,68.87486855941141,6.585936579845679,7.080890658152494,-0.49495407830681515,603.9755,618.2092704070275,589.7417295929725,610.2514285714286,603.1428571428571,588.8897999999999,607.2800469535524,0.060072303480063954
2025-07-10,607.73,609.765,605.56,607.56,1000000,63.377496539450256,6.120421862536659,6.888796899029328,-0.7683750364926683,604.72775,617.9667595332327,591.4887404667674,609.5914285714287,604.1461904761904,589.4227999999999,607.3231166530059,0.05154629364835028
2025-07-11,607.585,613.825,605.51,612.44,1000000,65.81133468709626,6.075241706667384,6.726085860556939,-0.6508441538895546,605.72825,618.0465134093051,593.4099865906949,609.7085714285714,605.095,590.0005,608.1103294756203,0.05652383394015301
2025-07-14,610.74,614.33,610.285,611.535,1000000,69.2501942501941,5.898416892733735,6.560552066992299,-0.6621351742585642,606.57875,617.9527896355715,595.2047103644285,609.8278571428572,606.004761904762,590.5405999999999,608.6372018639864,0.05712497337732102
2025-07-15,611.665,616.16,609.465,610.01,1000000,61.152263374485486,5.571008085318567,6.3626432706575535,-0.7916351853389862,607.33925,617.3494449478874,597.3290550521126,609.5564285714287,606.7421428571429,591.0394,608.8484015772193,0.05872202358615325
2025-07-16,609.955,619.68,609.67,615.165,1000000,65.6852053798618,5.662229013009664,6.222560419127976,-0.560331406118312,608.26725,617.4983595729249,599.0361404270751,610.5435714285715,607.7119047619047,591.7103,609.8201859499549,0.06380775324057719
